model,max_visits,concurrency,wall_sec,per_request_p50_sec,per_request_p95_sec,per_request_max_sec,reviews_per_min
b18c384nbt,100,1,1.15,1.15,1.15,1.15,52.4
b18c384nbt,100,4,3.13,2.54,3.13,3.13,76.8
b18c384nbt,100,8,6.67,3.82,6.67,6.67,72.0
b18c384nbt,100,16,14.87,9.77,14.87,14.87,64.6
b18c384nbt,200,1,2.02,2.02,2.02,2.02,29.7
b18c384nbt,200,4,5.36,4.42,5.36,5.36,44.8
b18c384nbt,200,8,11.56,6.57,11.56,11.56,41.5
b18c384nbt,200,16,26.42,17.4,26.42,26.42,36.3
b28c512nbt,100,1,2.6,2.6,2.6,2.6,23.1
b28c512nbt,100,4,7.03,5.67,7.03,7.03,34.1
b28c512nbt,100,8,15.01,8.7,15.01,15.01,32.0
b28c512nbt,100,16,33.65,22.24,33.65,33.65,28.5
b28c512nbt,200,1,4.61,4.61,4.61,4.61,13.0
b28c512nbt,200,4,12.14,9.94,12.14,12.14,19.8
b28c512nbt,200,8,26.28,15.07,26.28,26.28,18.3
b28c512nbt,200,16,59.9,39.82,59.9,59.9,16.0
