model,max_visits,n_games,winrate_mae,winrate_p95_err,score_mae,single_latency_p50_sec,single_latency_p95_sec,batch_latency_p50_sec,batch_sec_per_scene,combo_wall_sec
b10c128,50,50,0.0451,0.2358,2.6164,0.0028,0.0044,0.0255,0.00035,4.7
b10c128,100,50,0.04008,0.21847,2.3199,0.0036,0.0052,0.0325,0.00046,4.2
b10c128,200,50,0.03674,0.20354,2.0651,0.0062,0.0079,0.0554,0.0008,7.4
b10c128,300,50,0.03419,0.1893,1.9226,0.0086,0.0112,0.0734,0.00109,8.8
b10c128,500,50,0.0323,0.17665,1.7721,0.0163,0.0199,0.1377,0.00198,16.3
b20c256x2,50,50,0.04559,0.18442,1.6081,0.0065,0.0109,0.0698,0.00099,16.9
b20c256x2,100,50,0.0405,0.15318,1.4019,0.0095,0.0125,0.093,0.00145,14.3
b20c256x2,200,50,0.03777,0.14352,1.2757,0.0166,0.0218,0.1813,0.00269,26.8
b20c256x2,300,50,0.03595,0.13352,1.2001,0.023,0.0316,0.2593,0.00384,31.4
b20c256x2,500,50,0.03432,0.12696,1.1314,0.0435,0.0506,0.4724,0.0071,59.7
b18c384nbt,50,50,0.01866,0.07634,1.6702,0.0124,0.0157,0.1212,0.00172,27.5
b18c384nbt,100,50,0.01352,0.05076,1.4648,0.013,0.0193,0.1517,0.00229,22.9
b18c384nbt,200,50,0.01048,0.03656,1.3294,0.0247,0.037,0.2712,0.00417,41.8
b18c384nbt,300,50,0.00921,0.03109,1.2796,0.0372,0.0487,0.3873,0.00594,49.4
b18c384nbt,500,50,0.0081,0.02366,1.2181,0.0699,0.0903,0.7173,0.01096,94.0
b28c512nbt,50,50,0.01284,0.0685,0.7851,0.017,0.0278,0.2379,0.00334,58.6
b28c512nbt,100,50,0.00804,0.0402,0.5804,0.0231,0.0345,0.304,0.00453,48.1
b28c512nbt,200,50,0.00583,0.0242,0.4232,0.0444,0.0591,0.5832,0.00868,90.0
b28c512nbt,300,50,0.00475,0.01883,0.3265,0.0659,0.0876,0.8107,0.01245,106.0
b28c512nbt,500,50,0.0033,0.01173,0.2318,0.1256,0.1616,1.5396,0.02309,203.3
